"Created at:","Jan 5, 2025"
"Applied Filters:"
"Area Median Income","30 - 60%; 60 - 80%; 80 - 100%; 100 - 150%; 150%+"
"Building Age","Before 1940; 1940 - 59; 1960 - 79; 1980 - 99; 2000 - 19; 2020+"
"Heating Fuel Type","Utility Gas; Bottled Gas; Electricity; Fuel Oil; Coal; Wood; Solar; Other; None"
"Building Type","1 unit detached; 1 unit attached; 2 units; 3 - 4 units; 5 - 9 units; 10 - 19 units; 20 - 49 units; 50+ units; Boat/RV/Van; Mobile/Trailer"
Rent/Own,"Renter-occupied; Owner-occupied"

"Geography ID",Name,State,"Energy Burden (% income)","Energy Burden (% income) (Electricity)","Energy Burden (% income) (Gas)","Energy Burden (% income) (Other)","Avg. Annual Energy Cost ($)","Avg. Annual Energy Cost ($) (Electricity)","Avg. Annual Energy Cost ($) (Gas)","Avg. Annual Energy Cost ($) (Other)","Total Households","Household Income","Black/ African American (% pop.)","American Indian/ Native Alaskan (% pop.)","Asian (% pop.)","Native Hawaiian/ Other Pacific Islander (% pop.)","White Hispanic or Latino (% pop.)","White Non-Hispanic or Latino (% pop.)","Two or More Races (% pop.)","Other Races (% pop.)","Less Than High School (% pop.)","High School (% pop.)","Associates or Some College (% pop.)","Bachelors or Higher (% pop.)"
4101000,Albany,Oregon,2,1,0,0,1426,979,410,37,15256,89042,0,1,1,0,5,76,10,6,5,19,47,29
4103050,Ashland,Oregon,2,1,0,0,1863,1335,468,60,5285,99438,1,1,2,0,5,79,11,2,1,10,27,62
4103150,Astoria,Oregon,2,1,1,0,1588,875,527,186,3296,96815,1,0,1,0,8,77,8,4,5,14,43,39
4103250,Aumsville,Oregon,2,1,0,0,2249,1528,438,283,40,149089,0,4,0,1,6,84,2,3,6,16,52,26
4103650,"Baker City",Oregon,2,1,1,0,2041,1164,669,208,992,84243,1,0,1,0,4,91,2,1,7,21,41,31
4103800,Bandon,Oregon,3,2,1,0,1997,1369,406,222,573,78000,0,1,0,0,1,90,8,0,6,20,41,34
4105350,Beaverton,Oregon,1,1,0,0,1798,1295,473,30,38439,133064,2,0,12,1,7,62,10,6,4,14,29,53
4105800,Bend,Oregon,1,1,1,0,1691,933,671,87,30168,124260,0,1,2,0,6,82,7,2,3,13,32,51
4107200,Boardman,Oregon,2,2,0,0,1746,1492,150,104,28,81288,1,2,1,0,19,33,23,21,31,30,32,7
4108650,Brookings,Oregon,2,2,0,0,1799,1540,177,82,1075,93380,2,2,0,0,10,76,10,0,5,20,49,25
4109800,Burns,Oregon,4,2,0,1,2746,1754,307,685,63,71129,0,0,0,0,1,89,9,0,11,24,46,18
4110750,Canby,Oregon,2,1,0,0,2328,1790,470,68,3642,127447,1,1,2,0,9,71,10,7,10,20,37,33
4112400,"Central Point",Oregon,2,1,1,0,1739,1165,529,45,5233,102286,0,0,1,2,8,77,7,3,7,24,47,22
4115250,"Coos Bay",Oregon,2,2,0,0,1651,1206,112,333,5356,76029,1,2,1,0,4,80,8,4,9,25,45,21
4115350,Coquille,Oregon,2,2,0,1,1915,1268,167,480,92,76827,0,0,0,0,6,87,5,1,3,27,43,26
4115550,Cornelius,Oregon,2,1,0,0,2172,1548,504,120,1110,118477,1,2,2,0,18,48,9,20,22,21,36,21
4115800,Corvallis,Oregon,1,1,0,0,1409,985,387,37,11920,101817,1,1,8,0,4,75,8,3,4,7,31,58
4115950,"Cottage Grove",Oregon,2,2,0,0,2091,1664,274,153,232,90440,1,2,1,0,4,79,10,3,5,29,46,21
4116950,Creswell,Oregon,2,1,0,0,1969,1530,261,178,76,113678,0,1,1,0,1,88,7,1,4,18,42,36
4117700,Dallas,Oregon,2,1,0,0,1631,1093,423,115,1271,101306,1,0,0,0,2,81,11,4,3,28,48,22
4117800,Damascus,Oregon,2,1,0,0,2540,1714,633,193,3582,141843,1,0,6,0,5,80,5,3,2,22,40,36
4118250,Dayton,Oregon,2,2,0,0,2511,2078,214,219,25,115338,0,0,0,0,10,66,17,7,10,23,31,36
4121050,Dundee,Oregon,2,1,0,0,2241,1607,530,104,351,132258,0,0,2,0,6,76,10,6,9,27,30,34
4121550,"Eagle Point",Oregon,2,1,1,0,1805,1200,528,77,2075,102570,1,0,0,0,1,90,3,5,5,35,44,17
4123800,Estacada,Oregon,3,2,0,0,3110,2497,255,358,114,102309,0,1,1,0,0,91,3,4,7,38,38,17
4123850,Eugene,Oregon,2,1,0,0,1649,1373,242,34,56869,98092,1,1,4,0,4,78,9,4,3,14,37,46
4124250,Fairview,Oregon,2,1,0,0,1821,1396,360,65,2317,105370,6,2,1,2,8,51,13,17,13,19,37,31
4124300,Fairview,Oregon,2,2,0,0,1516,1240,107,169,58,75842,2,1,2,0,14,61,13,7,12,38,31,19
4126050,Florence,Oregon,2,2,0,0,1519,1329,125,65,3181,76410,2,1,3,0,2,88,4,1,8,20,49,24
4126200,"Forest Grove",Oregon,1,1,0,0,1602,1134,378,90,4069,109429,1,1,2,0,9,64,10,13,10,17,36,37
4128650,Gervais,Oregon,2,2,0,0,2619,2079,324,216,13,105311,0,0,1,0,20,39,13,25,23,32,33,12
4129000,Gladstone,Oregon,2,1,0,0,2034,1404,511,119,4064,113559,2,1,2,0,3,79,9,5,5,23,42,30
4130550,"Grants Pass",Oregon,2,1,1,0,1710,1166,432,112,10304,78971,1,1,1,0,5,80,10,2,8,26,47,19
4131250,Gresham,Oregon,2,1,0,0,1926,1386,484,56,33900,102377,4,1,6,1,8,62,12,5,9,23,41,28
4132050,"Happy Valley",Oregon,2,1,0,0,2158,1446,673,39,8800,143220,1,0,16,0,3,67,10,3,4,11,37,49
4132550,Harrisburg,Oregon,2,1,0,0,1715,1280,304,131,26,95606,0,1,0,0,1,84,10,4,7,25,49,19
4133700,Hermiston,Oregon,2,2,1,0,2133,1556,506,71,1929,100411,0,0,2,0,25,45,10,18,16,25,40,19
4134100,Hillsboro,Oregon,1,1,0,0,1783,1320,434,29,34458,127719,3,1,12,1,8,54,14,8,6,14,32,47
4134900,"Hood River",Oregon,2,2,0,0,3030,2490,366,174,2389,127001,2,0,1,0,13,68,11,5,13,15,18,53
4135450,Hubbard,Oregon,2,2,0,0,2469,1865,483,121,79,104054,1,2,1,0,18,65,5,8,12,32,38,18
4136150,Independence,Oregon,2,1,0,0,1959,1558,359,42,1393,105869,0,2,1,0,17,52,11,17,9,24,45,23
4137000,Jacksonville,Oregon,1,1,0,0,1804,1223,489,92,155,125798,0,0,0,0,3,89,6,1,4,16,31,49
4137250,Jefferson,Oregon,2,1,0,0,2205,1514,482,209,38,123587,2,1,0,0,3,78,10,6,9,23,38,30
4138000,"Junction City",Oregon,2,2,0,0,2009,1651,246,112,313,89491,0,2,0,0,9,82,5,1,4,25,47,24
4138500,Keizer,Oregon,2,1,0,0,1897,1382,485,30,9999,98487,1,1,1,1,8,67,13,8,7,23,41,28
4139150,"King City",Oregon,2,1,1,0,1827,1321,472,34,1569,92473,2,1,3,0,1,79,9,6,3,18,39,39
4139700,"Klamath Falls",Oregon,2,1,1,0,1821,1046,615,160,5361,73773,1,4,1,1,7,73,10,3,9,27,40,25
4140300,Lafayette,Oregon,2,1,0,0,2392,1725,556,111,81,126248,0,2,1,0,5,75,7,10,2,19,44,35
4140350,"La Grande",Oregon,2,2,1,0,1643,1151,443,49,1095,66034,1,0,2,1,6,85,3,1,4,24,42,29
4140550,"Lake Oswego",Oregon,1,1,0,0,2216,1447,713,56,14361,192195,1,0,9,0,1,77,9,1,1,4,19,76
4140700,Lakeview,Oregon,3,1,0,1,2851,1197,423,1231,18,91583,0,2,1,0,7,77,12,1,11,31,26,33
4141650,Lebanon,Oregon,2,1,0,0,1475,1037,372,66,3829,86395,1,0,1,0,4,83,9,2,7,31,38,24
4142600,"Lincoln City",Oregon,2,1,1,0,1469,925,479,65,1355,92487,0,2,3,0,4,80,6,5,6,20,40,35
4145000,McMinnville,Oregon,1,1,0,0,1278,1027,208,43,7370,106138,1,0,2,1,6,73,12,6,7,18,37,37
4145250,Madras,Oregon,2,1,0,0,1815,1270,298,247,618,103010,0,9,0,0,9,48,19,15,11,22,43,23
4147000,Medford,Oregon,2,1,1,0,1677,1141,501,35,24803,91591,1,1,1,0,8,75,10,3,6,23,38,32
4148600,Milton-Freewater,Oregon,2,2,0,0,1823,1486,216,121,841,84485,0,1,0,0,22,46,4,27,25,19,45,11
4148650,Milwaukie,Oregon,2,1,0,0,1916,1385,442,89,9035,105583,1,0,3,0,5,76,11,4,4,17,37,42
4149450,Molalla,Oregon,2,2,0,0,2221,1648,511,62,1051,107589,0,1,1,0,7,85,3,3,6,28,45,21
4149550,Monmouth,Oregon,2,1,0,0,1918,1510,311,97,1361,101499,1,3,3,0,5,76,11,2,3,13,40,43
4150150,"Mount Angel",Oregon,2,2,1,0,2343,1656,568,119,61,96814,1,0,1,0,9,59,17,14,15,13,51,21
4150950,"Myrtle Creek",Oregon,2,2,0,0,1641,1206,321,114,88,75045,0,3,0,0,2,86,8,1,10,34,44,12
4151050,"Myrtle Point",Oregon,2,1,0,1,2072,1265,102,705,12,89961,0,1,0,0,3,81,12,2,5,35,44,15
4152100,Newberg,Oregon,2,1,0,0,2072,1587,441,44,4799,108453,1,1,2,0,8,71,13,4,7,20,35,38
4152450,Newport,Oregon,2,1,0,0,1559,1183,272,104,1123,94383,0,1,2,0,3,76,7,11,7,17,40,36
4153000,"North Bend",Oregon,2,1,0,0,1802,1322,195,285,3800,99974,1,3,4,0,3,78,10,0,7,27,40,26
4153750,Nyssa,Oregon,3,2,1,0,2255,1496,536,223,26,69888,0,0,1,0,31,40,18,10,17,31,41,11
4154100,Oakridge,Oregon,4,3,0,0,2299,1951,168,180,18,58672,0,1,0,0,3,93,3,0,16,31,38,15
4154900,Ontario,Oregon,3,2,1,0,1935,1349,476,110,1005,64627,0,4,1,0,22,50,17,5,26,28,32,14
4155200,"Oregon City",Oregon,2,1,0,0,2016,1425,539,52,8495,117786,1,1,2,0,4,87,5,1,4,23,40,33
4157150,Pendleton,Oregon,3,2,1,0,1944,1244,622,78,1514,73397,1,2,2,0,4,74,11,7,13,39,33,16
4157450,Philomath,Oregon,2,1,0,0,1491,1098,357,36,819,97378,0,2,3,0,1,86,5,3,5,17,38,40
4157500,Phoenix,Oregon,2,2,0,0,1394,1019,273,102,520,66005,1,0,1,0,8,76,10,3,6,37,37,20
4159000,Portland,Oregon,1,1,0,0,1757,1203,468,86,242250,137715,6,1,8,1,4,69,9,3,4,11,26,59
4159850,Prineville,Oregon,2,1,1,0,1609,1036,392,181,1364,74612,0,1,0,0,7,87,2,2,12,25,42,21
4161200,Redmond,Oregon,2,1,0,0,1750,1072,508,170,7708,102552,0,2,1,0,7,80,3,6,8,22,45,26
4161300,Reedsport,Oregon,2,2,0,0,1751,1355,87,309,14,74345,1,2,0,0,1,88,8,1,3,32,51,14
4163450,"Rogue River",Oregon,2,2,0,0,1749,1231,281,237,51,77037,0,1,1,0,4,85,8,1,7,23,49,22
4163650,Roseburg,Oregon,2,2,1,0,1683,1142,451,90,4204,74923,0,1,1,0,3,84,9,1,5,28,44,23
4164600,"St. Helens",Oregon,2,1,0,0,1918,1378,441,99,3536,94861,0,0,1,0,4,79,14,1,8,37,42,13
4164900,Salem,Oregon,2,1,0,0,1807,1314,461,32,51747,98703,2,1,3,2,7,66,12,8,8,19,38,35
4165250,Sandy,Oregon,2,1,0,0,2425,1699,615,111,1361,127135,0,1,1,0,4,85,8,1,4,21,45,30
4165500,Scappoose,Oregon,2,1,0,0,2091,1378,459,254,206,115459,0,0,1,1,1,88,8,1,5,20,48,27
4165950,Seaside,Oregon,2,1,0,0,1144,773,316,55,1761,66991,2,1,0,0,9,87,2,0,2,29,46,23
4166550,"Shady Cove",Oregon,2,2,0,0,1931,1285,273,373,33,81876,0,3,1,0,2,84,9,1,8,21,52,19
4167050,Sheridan,Oregon,2,1,0,0,1690,1126,345,219,21,111088,3,3,1,0,11,73,7,2,5,28,44,24
4167100,Sherwood,Oregon,1,1,0,0,2056,1354,680,22,4042,145709,1,0,4,0,2,80,11,2,4,10,34,52
4167650,Silverton,Oregon,2,1,1,0,2120,1545,538,37,1523,103969,5,1,0,0,2,77,10,4,1,25,45,29
4167950,Sisters,Oregon,2,1,0,0,2525,1702,414,409,17,122706,1,0,2,0,2,88,5,1,1,15,31,52
4169600,Springfield,Oregon,2,1,0,0,1218,1017,167,34,16957,79506,1,1,2,0,4,75,9,6,8,25,45,23
4169900,Stanfield,Oregon,2,2,1,0,2146,1466,444,236,27,85816,0,1,0,0,15,55,22,8,17,38,34,12
4170200,Stayton,Oregon,2,1,0,0,1655,1160,435,60,1499,97270,0,0,1,0,3,75,19,2,8,19,47,27
