Zip,STN01,STN02,STN03,STN04,STN05,STN06,STN07,STN08,STN09,STN10,STN11,STN12,STN13,STN14,STN16,STN17,STN18,STN19,STN20,STN21,STN22,STN23,STN24,STN28,STN29,STN30,STN32,STN33,STN34,STN35,STN37,STN40,STN41,STN42,STN43,STN44,STN45,STN46,STN47,STN48,Total_consumption,Average consumption
98661,201864.607,64.70692738,22538.49731,160793.0847,0,0,0,136485.3268,90445.48391,0,0,280665.2364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.75947302,0,334183.647,0,0,0,0,0,4186.01316,0,0,0,0,0,1231290.363,
98663,58965.00302,0,1847.417812,0,0,0,191.9060495,59522.57139,76.58381364,1170.536553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357.224636,83.68520479,0,415.8212035,0,0,337671.7282,0,0,0,442.5724237,0,460745.0503,
98683,54.04674887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103088.7995,34472.44525,0,50.74434193,0,339031.5889,63.75947302,0,0,308128.924,0,0,6465.839441,0,0,0,0,0,0,0,791356.1477,
98662,0,243492.1677,27403.36421,0,54.34397497,124351.7372,63.96868317,70.60803249,121921.4313,0,0,45935.03086,0,0,102455.1152,0,0,0,142949.1581,0,0,0,0,0,0,0,0,0,0,0,98954.76989,0,0,0,0,248.3096908,0,0,0,0,907900.0049,
98682,0,79136.57219,0,0,59126.24477,145.6109335,0,0,0,0,74.03883546,0,0,0,0,0,0,0,169.0372385,0,0,0,0,258491.6778,68097.77295,0,288192.818,0,0,0,145235.5822,0,0,0,0,182358.6369,0,0,0,0,1081027.992,
98665,0,0,85165.96114,0,0,0,275065.3377,0,0,0,0,0,0,0,0,141223.3615,0,0,22200.224,0,0,0,0,0,0,0,0,56.35566625,0,0,0,0,0,0,0,0,0,0,140000.41,0,663711.6499,
98686,0,0,64043.81749,0,0,0,0,0,0,0,114390.0008,0,0,0,1096076.421,121365.4013,0,0,122664.6894,0,0,0,0,101.4886839,0,0,0,0,0,83.68520479,69.4907092,0,217.9496441,0,0,0,0,0,0,0,1519012.944,
98664,0,0,0,111846.1144,0,178009.3662,0,0,0,0,0,659.3545099,0,0,0,0,0,0,0,0,0,217134.872,0,0,80346.80633,0,0,0,0,0,0,0,145.2997627,0,0,0,0,0,0,0,588141.8132,
98607,0,0,0,0,173955.0639,0,0,0,0,0,0,0,156564.9746,0,0,0,0,163.160306,0,1157.474567,0,0,0,0,0,0,0,0,0,60922.82908,0,250116.4539,0,0,0,0,0,0,0,317.130224,643197.0866,
98684,0,0,0,0,41518.79688,145.6109335,0,0,0,0,0,0,0,0,0,201.6036566,0,0,0,0,169383.4975,0,0,18876.8952,90711.37303,73879.67277,0,0,0,83.68520479,69.4907092,0,327069.7659,0,0,0,0,0,0,0,721940.3917,
98606,0,0,0,0,108.6879499,0,0,0,0,0,0,0,0,0,1288.743587,0,0,61266.69489,0,0,0,0,0,0,0,0,0,0,0,0,23487.85971,0,0,122279.5063,0,57707.17214,0,0,0,0,266138.6646,
98685,0,0,0,0,0,0,191.9060495,0,0,0,188873.0693,0,0,0,0,101104.2338,0,0,56.34574618,0,108.8582889,0,0,0,0,0,0,236073.8859,0,0,0,0,0,0,0,0,0,4325.525065,215385.2462,0,746119.0703,
98660,0,0,0,0,0,0,0,0,76.58381364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535.836954,0,0,207.9106017,0,0,29581.15966,0,0,0,1549.003483,0,31950.49452,
98671,0,0,0,0,0,0,0,0,0,267402.5726,0,0,73997.06907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189753.0759,0,0,279.067544,0,0,0,0,0,531431.7851,
98642,0,0,0,0,0,0,0,0,0,0,101803.3988,0,0,238275.7346,514853.0632,0,73.41257078,0,0,12346.39539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73279.48346,0,0,940631.488,
98604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397577.3967,0,73.41257078,258038.0239,0,280880.495,0,0,0,0,0,0,0,0,0,0,277.9628368,346.5176696,0,88922.10298,0,0,114280.228,0,0,161863.2664,1302259.406,
98629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105640.6893,0,0,20963.1505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.30345913,0,0,0,126691.1433,
98674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50801.49898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50801.49898,
98601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33843.19513,0,0,0,0,0,77094.59158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110937.7867,
98675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28630.9026,0,0,0,0,0,90003.12172,0,0,0,0,0,0,0,0,0,0,0,0,0,62334.66982,0,0,0,180968.6941,
